"team_abbr","game_id","game_date","opponent","nodes","edges","density","vertex_connectivity","edge_connectivity","components","max_component_size","biconnected_components","cohesive_blocks","max_cohesion_value","in_degree_centralization","out_degree_centralization","in_closeness_centralization","out_closeness_centralization","betweenness_centralization","eigenvector_centralization","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","season","season_type"
"ATL",22400064,"2024-10-23","BKN",9,55,0.763888888888889,3,3,1,9,5,1,6,0.265625,0.265625,0.228409090909091,0.216018356643357,0.0613520408163265,0.245594193469678,1,0,1,0,2,0.028216461291017,0.028216461291017,"2024-25","Regular Season"
"ATL",22400079,"2024-10-25","CHA",9,51,0.708333333333333,3,3,1,9,5,2,5,0.328125,0.328125,0.262041083916084,0.263352272727273,0.0833705357142857,0.291386519140609,1,0,1,0,2,0.0226757369614513,0.0226757369614513,"2024-25","Regular Season"
"ATL",22400100,"2024-10-27","OKC",11,71,0.645454545454545,2,2,1,11,5,3,6,0.28,0.28,0.204126535229476,0.195499084249084,0.092468253968254,0.266395252211856,3,0.0610948761160314,1,0,2,0.0835813403133852,0.0835813403133852,"2024-25","Regular Season"
"ATL",22400103,"2024-10-28","WAS",10,62,0.688888888888889,3,3,1,10,5,3,7,0.345679012345679,0.345679012345679,0.268065268065268,0.271191771191771,0.119855967078189,0.29845270843855,1,0,1,0,2,0.0445756146121884,0.0445756146121884,"2024-25","Regular Season"
"ATL",22400121,"2024-10-30","WAS",9,49,0.680555555555556,2,2,1,9,5,2,5,0.359375,0.359375,0.283847402597403,0.27987012987013,0.163616071428571,0.306375677084329,1,0,1,0,2,0.0010611111111111,0.0010611111111111,"2024-25","Regular Season"
"ATL",22400135,"2024-11-01","SAC",9,51,0.708333333333333,2,2,1,9,5,2,5,0.328125,0.328125,0.266477272727273,0.257142857142857,0.113839285714286,0.281232108001561,1,0,1,0,2,0.0363452708907255,0.0363452708907255,"2024-25","Regular Season"
"ATL",22400152,"2024-11-03","NOP",9,54,0.75,3,3,1,9,5,2,6,0.28125,0.28125,0.236188811188811,0.228518356643357,0.0760044642857143,0.245606636118119,1,0,1,0,2,0.0633544921875,0.0633544921875,"2024-25","Regular Season"
"ATL",22400157,"2024-11-04","BOS",11,67,0.609090909090909,2,2,1,11,5,2,5,0.21,0.32,0.145523055375997,0.217511808367072,0.0969814814814815,0.287527878867565,3,0.0748784241305016,1,0,3,0.130630963373346,0.130630963373346,"2024-25","Regular Season"
"ATL",22400171,"2024-11-06","NYK",9,54,0.75,3,3,1,9,5,1,5,0.28125,0.28125,0.235227272727273,0.233916083916084,0.0535714285714286,0.217555946414854,1,0,1,0,2,0.0590744018554688,0.0590744018554688,"2024-25","Regular Season"
"ATL",22400185,"2024-11-08","DET",10,61,0.677777777777778,3,3,1,10,5,2,5,0.358024691358025,0.358024691358025,0.282310282310282,0.28014578014578,0.108796296296296,0.324457761338058,1,0,1,0,2,0.0443073789044817,0.0443073789044817,"2024-25","Regular Season"
"ATL",22400198,"2024-11-09","CHI",10,60,0.666666666666667,2,2,1,10,5,2,5,0.246913580246914,0.246913580246914,0.173308173308173,0.158605283605284,0.0859053497942387,0.27410812556006,2,0.0180850065678364,1,0,2,0.145618314880841,0.145618314880841,"2024-25","Regular Season"
"ATL",22400001,"2024-11-12","BOS",9,49,0.680555555555556,2,2,1,9,5,3,5,0.21875,0.359375,0.151854395604396,0.286931818181818,0.0994419642857143,0.28474581536356,1,0,1,0,2,0.00693099409936485,0.00693099409936485,"2024-25","Regular Season"
"ATL",22400012,"2024-11-15","WAS",10,60,0.666666666666667,3,3,1,10,5,1,5,0.246913580246914,0.246913580246914,0.171865171865172,0.16970066970067,0.0915637860082304,0.242934097664668,1,0,1,0,2,0.0741704243265117,0.0741704243265117,"2024-25","Regular Season"
"ATL",22400239,"2024-11-17","POR",10,63,0.7,4,4,1,10,5,2,6,0.209876543209877,0.333333333333333,0.143393643393643,0.265900765900766,0.0534979423868313,0.260793308978831,2,0.121070368693728,1,0,2,0.121070368693728,0.121070368693728,"2024-25","Regular Season"
"ATL",22400250,"2024-11-18","SAC",10,62,0.688888888888889,3,3,1,10,5,3,5,0.222222222222222,0.222222222222222,0.14997964997965,0.154512154512154,0.0807613168724279,0.253190708965515,1,0,3,0.00173611111111114,2,0.122082368827161,0.122082368827161,"2024-25","Regular Season"
"ATL",22400258,"2024-11-20","GSW",12,77,0.583333333333333,2,2,1,12,5,3,6,0.256198347107438,0.355371900826446,0.16469299534315,0.241070604974348,0.178913813459268,0.300132218204553,3,0.0670380755608028,1,0,3,0.0998850986675662,0.0998850986675662,"2024-25","Regular Season"
"ATL",22400030,"2024-11-22","CHI",10,63,0.7,1,1,1,10,5,3,6,0.209876543209877,0.333333333333333,0.151515151515151,0.258913925580592,0.125,0.26371344298797,1,0,1,0,2,0.058716794890405,0.058716794890405,"2024-25","Regular Season"
"ATL",22400280,"2024-11-25","DAL",9,51,0.708333333333333,3,3,1,9,5,2,5,0.328125,0.328125,0.261188811188811,0.263461538461539,0.111160714285714,0.285729298950088,1,0,1,0,2,0.091938775510204,0.091938775510204,"2024-25","Regular Season"
"ATL",22400287,"2024-11-27","CLE",9,54,0.75,3,3,1,9,5,2,5,0.28125,0.28125,0.235227272727273,0.236188811188811,0.0760044642857143,0.253329257512728,1,0,1,0,2,0.06279878075523,0.06279878075523,"2024-25","Regular Season"
"ATL",22400041,"2024-11-29","CLE",12,62,0.46969696969697,1,1,1,12,5,3,5,0.380165289256198,0.28099173553719,0.280286461581509,0.1356519885031,0.444462809917355,0.430382910132834,3,0.0179379809868719,1,0,2,0.125295508274232,0.125295508274232,"2024-25","Regular Season"
"ATL",22400300,"2024-11-30","CHA",10,58,0.644444444444444,3,3,1,10,5,1,5,0.271604938271605,0.395061728395062,0.186387686387686,0.312095312095312,0.128343621399177,0.33829913039913,2,0.110823637720036,1,0,2,0.113514071205219,0.113514071205219,"2024-25","Regular Season"
"ATL",22400315,"2024-12-02","NOP",9,57,0.791666666666667,5,5,1,9,5,2,6,0.234375,0.234375,0.207954545454545,0.202556818181818,0.0381696428571428,0.222627474117232,1,0,1,0,2,0.067762659518676,0.067762659518676,"2024-25","Regular Season"
"ATL",22400323,"2024-12-04","MIL",9,54,0.75,4,4,1,9,5,1,5,0.28125,0.28125,0.239204545454545,0.236931818181818,0.0652901785714286,0.260994680662486,2,0.103333778484624,1,0,2,0.103333778484624,0.103333778484624,"2024-25","Regular Season"
"ATL",22400334,"2024-12-06","LAL",9,54,0.75,4,4,1,9,5,1,5,0.28125,0.28125,0.226704545454545,0.231534090909091,0.0579241071428572,0.249394534214902,1,0,1,0,2,0.0462187223856557,0.0462187223856557,"2024-25","Regular Season"
"ATL",22400350,"2024-12-08","DEN",11,69,0.627272727272727,2,3,1,11,5,3,6,0.3,0.19,0.209588474391106,0.125328144078144,0.122190476190476,0.243079859905595,3,0.0915571592518688,1,0,2,0.146291911787513,0.146291911787513,"2024-25","Regular Season"
"ATL",22401202,"2024-12-11","NYK",9,52,0.722222222222222,3,3,1,9,5,2,5,0.3125,0.3125,0.253977272727273,0.254938811188811,0.09765625,0.278271467088654,1,0,1,2.22044604925031e-16,2,0.0310640150965307,0.0310640150965307,"2024-25","Regular Season"
"ATL",22401229,"2024-12-14","MIL",9,53,0.736111111111111,3,3,1,9,5,1,5,0.296875,0.296875,0.242438811188811,0.247727272727273,0.0878348214285714,0.26624546189261,1,0,2,0.01993148551853,2,0.0247504466554115,0.0247504466554115,"2024-25","Regular Season"
"ATL",22400370,"2024-12-19","SAS",9,59,0.819444444444444,4,4,1,9,5,1,6,0.203125,0.203125,0.182102272727273,0.170454545454545,0.0311065051020408,0.18512652949823,1,0,1,0,2,0.0597762746571687,0.0597762746571687,"2024-25","Regular Season"
"ATL",22400378,"2024-12-21","MEM",12,77,0.583333333333333,2,2,1,12,5,4,6,0.454545454545455,0.355371900826446,0.328196158846314,0.239632761459387,0.145218417945691,0.373726404356009,2,0.0320669581024931,4,0.00148242728531855,3,0.0990250605955678,0.0990250605955678,"2024-25","Regular Season"
"ATL",22400395,"2024-12-23","MIN",11,69,0.627272727272727,2,2,1,11,5,2,6,0.3,0.19,0.209743703149276,0.117898465054038,0.146686507936508,0.288832847292,2,0.0124643912926633,2,0.0124697661918839,2,0.0905079279763504,0.0905079279763504,"2024-25","Regular Season"
"ATL",22400413,"2024-12-26","CHI",9,64,0.888888888888889,5,5,1,9,5,1,6,0.125,0.125,0.121875,0.113352272727273,0.0106505102040816,0.117756973457774,1,0,1,0,2,0.03283072834557,0.03283072834557,"2024-25","Regular Season"
"ATL",22400427,"2024-12-28","MIA",9,63,0.875,5,5,1,9,5,2,7,0.140625,0.140625,0.128977272727273,0.13125,0.0142538265306122,0.135678648614071,1,0,1,0,2,0.0807584027578282,0.0807584027578282,"2024-25","Regular Season"
"ATL",22400438,"2024-12-29","TOR",11,75,0.681818181818182,1,1,1,11,5,3,7,0.24,0.35,0.166689560439561,0.276773504273504,0.150515873015873,0.234590220570013,2,0.148855987841317,1,0,3,0.169316901190021,0.169316901190021,"2024-25","Regular Season"
"ATL",22400461,"2025-01-01","DEN",10,68,0.755555555555556,2,2,1,10,5,3,7,0.271604938271605,0.271604938271605,0.216189674523008,0.213211171544505,0.0977366255144033,0.216091259326361,1,0,1,0,2,0.111753381893861,0.111753381893861,"2024-25","Regular Season"
"ATL",22400477,"2025-01-03","LAL",11,58,0.527272727272727,0,0,1,11,5,4,6,0.52,0.41,NA,0.322768724696356,0.302277777777778,0.400662422624228,1,0,1,0,2,0.0753068230968858,0.0753068230968858,"2024-25","Regular Season"
